intent,description,response,
pseb_function,about major function of pseb,"PSEB major function is to register IT companies, call centers and freelancers in Pakistan and provide regulatory and corporate incentives and facilitation to them.",
registration,"registration at pseb as FRC, CC, CO","Registration guidelines are at this link ""https://pseb.org.pk/app"". You can follow the explained steps to get registered. Visit PSEB site and move to the registration page and select the registration option of company, call center or freelancer. Go to that page and fill the form and submit for initial review of PSEB. You will be intimated by auto email on your submitted application."
cc_renewal,about call center renwal charges,"PSEB charges Rs.20,000 for call center annual renewal and Rs. 10,000/- for renewal of each branch. ",
compulsory_to_register,inform is it necessary to register with pseb,"For voice operation business, call center registration is necessary to operate legally in the country, where as company and freelancer registration is not mandatory. ",
reg_reward,related benefit after registration with pseb,Certified/registered companies & freelancers can get incentives and facilitation furthermore call centers are also legalized.,
process_of_renewal,"about process of renewal for FRC, CC, CO","Visit PSEB registration portal, login to your application and update the form according the latest information and upload all required documents as requested by the system and submit your renewal application for PSEB review.",
cc_branch_reg,how to register CC branch,"PSEB only registered a branch for valid call centers, in this regards a request on official letterhead along with the copy of main office registration and a PO of Rs.10, 000/- in favor of PSEB. ",
request_tab,about send request for visit/renewal,Send official request for tab at registraiton@pseb.org.pk with your complete contact details and designation.,
certificate_correction,about correction in certificate,Original certificate has to return along with the correction on letterhead should be sent to PSEB office. ,
sbp,deals with SBP code ,"SBP defined 06 different codes to use for receiving foreign remittance against IT/ITeS (9102, 9181 - 6).",
ownership_change,about procedure to change ownership,The applicant has to send their request at registration@pseb.org.pk with all supporting documents as attachments. ,
ntn_change,about request for change of NTN,A request on official letter along with the copy of NTN is required to update PSEB record. ,
payment_return,inform about payment return process,A formal request on letterhead or by email with details is required to proceed. ,
payment_option,tells payment method at pseb,PSEB charges can be made through online banking system or PO/DD (in favor of PSEB) to deposit/sent to PSEB office.,
time_after_payment,inform time require after payment,"Usually it takes 3-5 working days max. If all requirements and fee submission is clear, then it usually takes 3-5 working days."
po_dd_accept,about post order or demand draft,"Yes, but encourage to use online banking system.",
cash_deposit,about cash deposit method,"Yes, but not recommended.",
psw_change,about forget password,"Please re-set your password and try again, it will work. Use the option for re-set password to get a new one.",
add_IP,to add new ip,Call have to send and email at registration@pseb.org.pk for required updates.,
cancel_reg,for cancel registration,"Formal request, by email or letterhead is required from business owner to close the registration. ",
dual_year_reg,about multi year subscription,"PSEB did not issue a company registration certificate for more than one year but At the time of renewal, any call center can apply for multiple years of registration from 1-5 years. ",
visit_verification,delas with verification of visit tab,Visit tab is available on the portal when you login to the portal and you have to fill the visit form and submit.,
whitlisting_process,about whitelising process at pseb.,Please check your call center provisional letter (issued by PSEB) for instruction.,
doc_for_reg_renewal,about require documents,Please visit the link pseb.org.pk to get the details about required documents.,
website_down,delas with website down scnerio,"Check your internet connection, if the problem is still there then email us at registration@pseb.org.pk. ",
ipv6_issue,deals with ipv6 issue,"Update your system by disable IPV6 then try to login to the PSEB registration portal, it will work. ",
cer_not_received,about certification not received,Please share the details about payment submission and your contact details with the company name to check and contact you back. ,
reg_rejected,reason for application rejection,Sent a query email to registration@pseb.org.pk along with your concern and contact details and we will get back to you. ,
fee_structure,tells about the fee structure,Please visit the link pseb.org.pk to get the details about fee structure. ,
update_profile,"about update profile, contact, logo",Login to your registration portal and update your profile on it. ,
update_bank,related to update bank details,Send us updating request by email with the scan copy of the new bank account letter.,
foreign_services,about foreign services,Currently PSEB is working on it.,
visiting_hours,for visiting hours at pseb,"All relevant information is available on the PSEB site, if anyone needs further information he can visit us between 9:30 to 4:30 from Monday to Friday. ",
rform_prc,tells what is rform or prc,"R-Form stands Remittance Form and PRC stands for Proceed Realization Certificate, both documents can get from Bank and it should be on SBP defined IT/IT's code.",
tax_cer,for tax exemption from fbr,You can apply from your iris account to get the tax exemption certificate from FBR.,
IT_tax,about tax on IT export.,1 % tax on IT Export Revenue.,
recipient_submission,for payment recipient submission,Payment submission prove should be sent to reg.payment@pseb.org.pk with company details.,
cer_delivery_id,for certification delivery id,Sent an email request to registration@pseb.org.pk with your company details to check and reply you back.,
reg_without_revenue,about resubscription without revenue,You can provide justification on legal paper for not having revenue and commit to provide it later.,
apply_for_cc_exten,process for call center provisional extension,You can send a request for call center provisional extension by online before the end of the current provisional letter.,
num_of_cc_exten,about number of extensions for call center,The call center can get the extension for one time only.,
fee_for_cc_exten,tells fee for call center extension,Currently PSEB did not charge any fee against the call center provisional extension.,
should_start_operation,tells when to start operation after certification,"After getting the PSEB provisional letter, the call center has to apply for IP whitelisting and start the operations, after that call center have to apply for a verification visit to get the permanent certificate.",
multi_reg_for_single,about single email/ntn for multiple account,"Yes, PSEB has no issue with it. ",
need_secp_firm_reg,for registration scep/firm account require?,"No, it's not necessary. ",
