col1,col2
Sender ID,b05eaa869b80463ab2314b7e3a925cec
user,hi
bot,To enhance your assistance experience we need to know if you're a registered user?
user,im registered user
bot,Would you be able to provide me your registration ID?
user,FR/PSEB/2021/19
entity_user_id,FR/PSEB/2021/19
bot,"You have been successfully verified. 
What information you would like to know about PSEB?"
user,hi
bot,Hello! Ovex Technologies What would you like to know?
user,tell me my registeration status
bot,Your registration status is: Registered.
user,kfajfldkjaf;klaj;l
bot,"Sorry, I have not understood what your'e trying to say. Please! come up again by rephrasing."
bot,Debug Story 2
user,lkdjflajfdlakjflkjaldfjlkafjdlkj
bot,"Sorry, I did not understand what you meant. For our current conversation, may I go ahead and generate a ticket for you?"
user,yes
bot,Debug Story 1
Sender ID,3a7f6c9ec83a407381ffb63d80f7579d
user,
bot,Debug Story 1
user,hi
bot,To enhance your assistance experience we need to know if you're a registered user?
user,tell me registeration status
bot,I would not be able to help you in this regard because this facility is only for registered users.
user,what's my account status
bot,I would not be able to help you in this regard because this facility is only for registered users.
user,function of pseb ?
bot,"PSEB major function is to register IT companies, call centers and freelancers in Pakistan and provide regulatory and corporate incentives and facilitation to them."
user,what's the funciton of pseb
bot,"PSEB major function is to register IT companies, call centers and freelancers in Pakistan and provide regulatory and corporate incentives and facilitation to them."
user,FR/PSEB/2021/19
entity_user_id,FR/PSEB/2021/19
bot,"You have been successfully verified. 
What information you would like to know about PSEB?"
user,hi
bot,Hello! Ovex Technologies What would you like to know?
user,what's the fucntion of pseb
bot,"For intent: pseb_function, fallback action."
user,what' is the function of pseb ?
bot,"For intent: pseb_function, fallback action."
user,lkdjf;lka a;lkdjfkdj kajflkdj dlfkjdkj
bot,"Sorry, I have not understood what your'e trying to say. Please! come up again by rephrasing."
bot,Debug Story 2
user,cflkajf;lka lakdjflkd dlkjflkdj
bot,"Sorry, I did not understand what you meant. For our current conversation, may I go ahead and generate a ticket for you?"
user,no
bot,Debug Story 2
Sender ID,252b4ac3d8d94c7daf990b6985c729bc
user,hi
bot,To enhance your assistance experience we need to know if you're a registered user?
user,im a registered user
bot,Would you be able to provide me your registration ID?
user,I forgot it
bot,"To assist you, we need some information from you."
bot,May I know your name please?
user,ahsan
entity_name,ahsan
bot,"Ahsan, I would like to know your Email address."
user,ahsan.ch100@hotmail.com
entity_email,ahsan.ch100@hotmail.com
bot,"Please Ahsan, can you provide your contact number too?"
user,03426295363
entity_phone_number,03426295363
bot,"Thanks for taking out some time to update us with your details.
What information you would like to know about PSEB?"
user,hi
bot,Hello! What do you need help with?
user,tell me your registeration status
bot,I would not be able to help you in this regard because this facility is only for registered users.
user,what's my account status
bot,I would not be able to help you in this regard because this facility is only for registered users.
user,dlfkjalkfd alkjdfk alkdjf aldjfla flajl
bot,"Apologies from my side, I did not get what you’re trying to say. Can you please rephrase?"
user,l;kdjflkka dlkfjal dljf alkjdf a;lkjf
bot,"Sorry, I did not understand what you meant. For our current conversation, would you like to send an email to our support team?"
user,no
Sender ID,252b4ac3d8d94c7daf990b6985c729bc
user,hahahah
bot,That's funny.
user,bye
bot,This was fun talking to you. Bye.
user,hi
bot,To enhance your assistance experience we need to know if you're a registered user?
user,im registered user
bot,Would you be able to provide me your registration ID?
user,FR/PSEB/2021/19
entity_user_id,FR/PSEB/2021/19
bot,"You have been successfully verified. 
What information you would like to know about PSEB?"
user,hi
bot,Hello! Ovex Technologies What would you like to know?
user,hahahhahahahah
bot,Laughing with you seems funny.
user,bye
bot,This was fun talking to you. Bye.
user,tell me my registeration status
bot,Your registration status is: Registered.
user,tell me my account status
bot,Your user account status is: Verified.
user,hdflkajd f;lakd flakjdfkl d
bot,"Apologies from my side, I did not get what you’re trying to say. Can you please rephrase?"
bot,Debug Story 1
user,lkdfl;ka dlkjfla lakjdfl aljdfkjkdjfkj
bot,"Sorry, I did not understand what you meant. For our current conversation, may I go ahead and generate a ticket for you?"
user,yes
bot,Debug Story 1
Sender ID,32da0720d5a24ba790b883541819de63
user,hi
bot,To enhance your assistance experience we need to know if you're a registered user?
user,im registered user
bot,Would you be able to provide me your registration ID?
user,my reg id is FR/PSEB/2021/22
entity_user_id,FR/PSEB/2021/22
bot,We could not get your Registration ID verified. You can proceed as a guest user.
bot,"To assist you, we need some information from you."
bot,May I know your name please?
user,my name is ahsan iqbal
entity_name,ahsan iqbal
bot,"Ahsan, I would like to know your Email address."
user,my email is kjdfldfj
bot,"Sorry, I have not understood what your'e trying to say. Please! come up again by rephrasing."
bot,Debug Story 3
user,my email is ahsan.ch
entity_name,ahsan.ch
bot,"Apologies from my side, I did not get what you’re trying to say. Can you please rephrase?"
user,my email is ahsan.ch100@
entity_name,ahsan.ch100@
bot,"Apologies from my side, I did not get what you’re trying to say. Can you please rephrase?"
user,my email is ahsan.ch100@hotmail.com
entity_email,ahsan.ch100@hotmail.com
